Page Views,Session Duration,Bounce Rate,Traffic Source,Time on Page,Previous Visits,Conversion Rate
6,9.657576919,0.0510868708,Organic,3.107007652,3,1
9,0.1155496555,0.1100238844,Paid,3.276242705,1,1
4,11.40041688,0.066918596,Organic,5.553548993,3,1
1,0.01396590663,0.313361357,Paid,5.755733748,4,1
6,6.20654132,0.2563381238,Organic,9.081799797,1,1
8,1.10158388,0.3068085992,Social,2.270526196,5,1
6,8.370491992,0.2964079057,Organic,7.478524876,0,1
2,1.143540954,0.3815736795,Paid,6.619431042,3,1
3,3.186606655,0.06859946837,Referral,1.121857386,3,1
5,0.2502510345,0.0459097188,Paid,6.971477092,2,1
3,0.8325212865,0.2831866243,Social,1.12639772,1,0.8744843268
3,4.457407393,0.131191735,Referral,3.790101093,0,1
5,2.25669129,0.1727127121,Paid,7.826826067,5,1
6,7.891978665,0.3998181507,Paid,0.4243939424,0,1
5,1.679792406,0.2275321829,Direct,5.162229295,0,1
3,6.116335588,0.3909923542,Referral,1.248632588,1,1
5,1.787818792,0.5042881718,Direct,9.227409199,2,1
3,11.62537824,0.2852315843,Organic,6.473043948,1,1
3,9.644231724,0.5739087702,Paid,0.9140210594,5,1
6,1.19756969,0.1617778917,Direct,2.398132927,1,0.9088357026
5,6.512662491,0.1351135553,Organic,8.233772652,2,1
6,5.643963817,0.2367550036,Direct,4.468721982,3,1
2,0.7097519012,0.164526488,Organic,5.685964729,1,1
4,2.93681633,0.2530427949,Direct,2.644228966,1,1
7,0.2263772115,0.5457533593,Paid,6.688997323,1,1
6,5.436695792,0.1036711961,Organic,10.67944941,2,1
5,0.5754647995,0.2566508003,Social,1.421380169,1,1
4,0.2203412993,0.449471114,Organic,2.521880288,2,1
3,1.533572549,0.3171730094,Organic,4.47407384,2,1
3,2.580597142,0.1876220488,Organic,3.058990148,4,1
7,5.791347003,0.1941115525,Referral,4.398518979,1,1
7,10.97709127,0.4438276048,Direct,5.067110645,3,1
6,1.736738034,0.199953158,Organic,3.072196814,3,1
6,0.1870529003,0.2190782166,Paid,2.179539054,3,1
7,4.14828876,0.270952874,Organic,3.784863276,3,1
8,2.498422852,0.3043091873,Referral,1.0710392,0,1
6,1.782031239,0.05521369228,Organic,1.987983514,0,1
3,1.110013939,0.2162418596,Organic,2.725889502,2,1
7,2.093867337,0.05105229024,Organic,3.551557937,2,1
5,1.24055053,0.1139363263,Paid,8.767249214,0,1
5,4.244228026,0.2112439157,Social,0.6689786983,1,1
7,2.355088125,0.3306023201,Paid,3.643817953,0,1
4,6.283002241,0.2859935465,Organic,5.672679926,1,1
9,2.352788346,0.0562264497,Paid,2.934160623,1,1
4,0.8164594712,0.477294487,Social,2.252288265,0,1
5,5.713277468,0.1987990771,Organic,3.275800365,1,1
2,2.444040268,0.3346154179,Organic,2.296890371,2,1
6,0.6951948634,0.1463059665,Organic,1.492004578,5,1
3,2.930573927,0.3152610307,Referral,1.815168733,0,1
6,1.328177689,0.51234922,Paid,1.844325298,0,0.9325454594
2,5.58150821,0.2780673789,Paid,14.26480293,3,1
3,1.811563785,0.1575111954,Organic,4.103969067,6,1
5,3.888717802,0.1425346738,Organic,3.141011093,2,1
3,0.3012390165,0.2284727324,Direct,1.556128492,1,1
4,1.512664171,0.2769074233,Organic,9.791441186,1,1
5,12.26653769,0.08575462345,Direct,5.452240456,1,1
6,4.957980379,0.1765612628,Paid,5.936922227,2,1
3,0.5228487488,0.5280604061,Organic,8.897551138,2,1
3,0.9762101766,0.194541316,Paid,2.310208059,1,1
4,1.200608077,0.03137966561,Direct,9.049868247,0,1
5,3.152601387,0.1394595721,Paid,4.376876323,2,1
4,4.24401681,0.2462714108,Social,7.275034714,5,1
2,4.153207761,0.1777977869,Organic,3.549808344,4,1
6,2.139278679,0.3994584898,Paid,2.35352117,1,1
6,4.995177538,0.3943113971,Social,5.883734969,3,1
8,1.723843053,0.02172259834,Direct,1.346004107,2,1
1,0.3967585691,0.2549449489,Paid,5.419541377,2,1
6,2.493380843,0.1152029675,Referral,0.207017382,3,1
2,9.128558726,0.1040616619,Organic,0.8465403052,1,1
5,4.72501745,0.5935636272,Organic,1.740479856,6,1
2,2.593234942,0.1560048093,Organic,3.016579317,5,1
6,3.122210509,0.1139459849,Organic,6.081979543,2,1
4,8.001964201,0.3220416475,Organic,1.934706396,3,1
3,1.677647275,0.4808339099,Organic,4.803429497,2,1
5,1.207681617,0.09447467378,Direct,3.116233382,0,1
6,11.3484583,0.1234849792,Referral,7.008283027,0,1
3,5.97304244,0.2942400231,Paid,1.586454442,1,1
4,1.170445162,0.6315198751,Direct,2.664499798,3,1
8,1.869635605,0.3035135654,Organic,8.023780429,2,1
4,1.608830984,0.5656975823,Paid,1.436848946,2,0.8248027989
10,0.4843667628,0.6420299221,Referral,5.274311468,4,1
4,9.497379219,0.3283843145,Organic,0.5572706058,0,1
5,1.554116888,0.3767705822,Referral,8.505160283,2,1
10,6.246233023,0.1845266138,Organic,1.756233587,0,1
3,0.629779699,0.4195729407,Organic,1.909935826,7,1
4,2.381361968,0.1415866583,Organic,1.046237142,1,0.993382912
7,0.07275938679,0.1268491719,Direct,5.003371014,1,1
5,4.334574493,0.4509169342,Referral,3.83193797,4,1
10,2.60903666,0.1676802153,Referral,1.523506714,3,1
4,2.947208139,0.3112703132,Paid,3.342979663,2,1
2,0.1593191771,0.3907657741,Organic,13.33602859,1,1
3,0.7111126202,0.1731158236,Referral,6.910315317,1,1
5,0.2317152652,0.09949405575,Paid,7.983271936,2,1
8,1.022887033,0.03600599684,Organic,1.864586258,1,1
4,2.96206355,0.1391470264,Referral,1.628082142,3,1
3,2.505418116,0.6510126073,Organic,0.6631754077,2,1
8,2.841408456,0.1410292206,Organic,4.301892388,0,1
6,2.390535712,0.04467658056,Social,2.726465352,2,1
8,0.9566052334,0.5582407707,Referral,8.402272184,2,1
3,0.841156263,0.1162049365,Referral,8.00141814,3,1
3,0.4422292455,0.3865551419,Paid,4.917496225,1,1
5,5.672834768,0.04990729557,Organic,1.161455216,5,1
11,2.875085507,0.3423308862,Referral,1.073812166,2,1
7,0.6192686688,0.5281057611,Referral,0.3418879631,1,0.7999291729
4,0.5851605634,0.1213137224,Paid,1.559234261,2,1
3,6.191545676,0.1024993495,Direct,1.160473246,2,1
8,4.072897558,0.3150640503,Direct,5.168079938,2,1
8,3.231131428,0.2100626038,Paid,2.595962689,1,1
3,1.566995236,0.3909156063,Social,2.170248239,1,1
3,0.9113350326,0.4947037884,Paid,3.120682956,2,1
6,11.65479442,0.2784648131,Paid,3.519864491,3,1
2,4.787190508,0.5252811564,Organic,2.014428472,4,1
7,1.077659781,0.4428309522,Paid,2.683800535,1,1
5,5.643047001,0.1051226205,Direct,5.53881741,1,1
5,4.268028043,0.2424827303,Social,6.247581499,2,1
6,1.057538922,0.09731858363,Social,1.141330562,0,0.9374711791
1,1.668268522,0.3841995748,Organic,2.918301478,3,0.9627351544
10,0.6172131667,0.3380427434,Organic,9.027136636,4,1
2,0.3531511133,0.2423783302,Organic,9.169156549,2,1
5,3.848637163,0.1821250742,Organic,8.427336657,2,1
4,0.9339243772,0.171162763,Paid,4.560344051,4,1
5,5.145384877,0.1530022848,Organic,2.794543368,0,1
4,16.28439777,0.283684418,Paid,0.4083042307,2,1
5,0.2391426802,0.1152187396,Paid,1.388833392,1,0.7805975267
6,1.921864151,0.1992603269,Organic,3.167497505,1,1
1,4.859412763,0.1256340986,Organic,5.672978403,0,1
3,4.666993364,0.6433459409,Social,4.863526558,2,1
2,4.281313546,0.1398226128,Organic,1.077954845,4,1
5,1.287713571,0.2375315347,Organic,2.285622245,2,1
4,1.814602731,0.1659281273,Social,8.674680382,2,1
7,2.711370255,0.3800226292,Direct,2.900913518,0,1
7,10.9421283,0.3211691187,Referral,4.910351437,3,1
2,1.190470384,0.6100167193,Organic,2.395231542,1,0.9898097205
6,7.697460831,0.3083269644,Organic,0.6335612355,3,1
7,0.9414905959,0.2549393409,Direct,3.961049127,6,1
2,13.54995784,0.1486511252,Social,2.80017644,4,1
7,3.328385985,0.6807955865,Paid,3.001540945,0,0.9493444529
5,1.868130347,0.2731639355,Organic,3.579698962,1,1
7,2.85101986,0.1315872246,Organic,1.499107639,1,1
6,0.9545523747,0.6286607942,Organic,3.437920074,2,1
5,0.961334298,0.4588573656,Referral,1.550935479,3,1
6,0.3616070476,0.3389642338,Organic,4.933953994,0,0.875163627
5,0.3632852982,0.08532332828,Direct,20.0212847,5,1
4,1.281622139,0.09780090967,Organic,1.895128806,0,1
7,4.317256577,0.3430155653,Referral,8.746138672,6,1
1,2.80925967,0.389264371,Organic,3.169156083,0,1
8,0.3247091421,0.3108637051,Paid,3.545783448,2,1
4,5.736427276,0.5527228671,Organic,2.892015115,4,1
5,2.759146973,0.2736000465,Social,1.853439804,3,1
3,9.72149194,0.1590079868,Paid,2.237548302,1,1
7,3.327674415,0.6711778202,Organic,10.75544236,3,1
2,0.5777516134,0.1602307568,Social,1.498222682,3,0.8384061506
5,1.926126877,0.3332258195,Paid,6.633625657,2,1
10,3.136616199,0.361554189,Direct,2.496411124,3,1
7,0.08601551338,0.2913124991,Direct,0.5176054153,1,0.8324669017
7,0.04506761874,0.3290304849,Direct,3.408635542,1,1
10,0.4157282894,0.2628500652,Organic,13.63962071,2,1
1,0.8697113561,0.118907584,Organic,5.90091089,0,1
5,1.683984658,0.1578412868,Direct,0.2091273117,3,1
3,2.005015278,0.1432225688,Paid,5.504601131,1,1
8,0.4455961133,0.1740292708,Organic,2.699797958,4,1
7,3.356979946,0.1630024234,Social,1.20327861,2,1
3,2.720046589,0.7926547823,Organic,2.402637131,4,1
1,1.046392864,0.2532169877,Referral,1.266106876,1,1
5,0.04126211416,0.133916763,Social,0.572741948,0,0.5288026272
3,0.2424847733,0.1672434214,Social,1.722424782,1,0.5082267596
6,1.491235527,0.05057702751,Organic,2.05062565,3,1
3,0.5016168062,0.2556974717,Paid,1.998384892,2,1
4,1.418757736,0.2814497189,Paid,2.35345073,3,1
5,2.968057253,0.6950088505,Paid,1.881070385,2,1
8,2.377162243,0.2317748659,Organic,3.280392214,0,1
7,0.788679157,0.3458584092,Paid,8.616289797,2,1
5,1.263971802,0.1814123948,Paid,0.6443024482,1,0.9276540174
4,2.855996213,0.3870961807,Paid,4.357585118,1,1
6,5.916716777,0.4412483192,Social,4.323490699,2,1
8,4.197694321,0.06006809038,Paid,1.295974929,2,1
4,2.418275999,0.007868090852,Organic,7.360139157,0,1
3,1.349629038,0.4780269516,Referral,0.673726946,3,1
2,1.362633106,0.3567611419,Social,5.528478252,1,1
3,6.346258619,0.08281169522,Organic,3.578504027,2,1
9,0.1201030895,0.4131051253,Referral,1.235251885,2,1
5,13.26421013,0.07920017016,Organic,8.725271739,2,1
4,3.275286114,0.3171507762,Organic,0.6271181846,1,1
7,3.428987784,0.2107301296,Direct,7.593991678,2,1
8,0.1162157406,0.4978670834,Direct,1.902036146,4,1
4,2.790631047,0.4141401719,Paid,2.707655757,2,1
4,1.98947256,0.1635818298,Referral,1.17401266,5,1
8,0.33540668,0.4241024626,Social,2.04213062,3,1
5,0.9768663828,0.4205382086,Direct,6.108036618,2,1
5,6.6304131,0.450129415,Paid,4.202479922,2,1
6,2.395445862,0.4760470478,Paid,10.21244597,2,1
7,1.600321138,0.3518386634,Paid,1.372679456,5,1
2,0.2263766947,0.04049597216,Organic,2.413296505,2,1
1,3.756565438,0.5684506783,Paid,4.436431522,0,1
7,3.640562964,0.3262153124,Social,4.452984315,7,1
5,2.856092662,0.2330848382,Social,2.583004418,4,1
4,2.141658133,0.1690279322,Social,1.045512406,1,0.9049883868
4,1.706341075,0.5584382073,Organic,7.812038667,5,1
3,2.698825175,0.3423243578,Paid,1.37532703,0,1
8,0.797352579,0.7897954524,Organic,1.958779602,3,0.9584077962
7,8.503855265,0.1155741082,Organic,2.598160573,0,1
1,2.665986781,0.01861244226,Direct,4.128671031,4,1
2,1.11838007,0.302519321,Paid,1.239293758,2,1
4,1.791765242,0.3734644158,Social,2.526628101,4,0.9524661377
6,4.914820917,0.4765201708,Organic,5.83724341,0,1
4,0.528837366,0.2306098126,Paid,9.15937315,1,1
6,1.03947642,0.2277269061,Referral,1.691866096,1,0.9777055186
8,3.413694105,0.2694819932,Organic,0.5945064071,1,0.980397378
7,1.137152598,0.1683165768,Organic,4.34690697,2,1
5,4.717896134,0.3942218202,Organic,0.7730914996,4,1
2,0.4193503586,0.2399353319,Referral,3.940186226,4,1
1,4.315115515,0.5676466414,Direct,2.777165188,0,0.9516115943
7,0.2123997359,0.1178688311,Social,2.617454853,2,1
4,0.03801771475,0.1884143223,Direct,1.306244472,3,1
1,6.854928694,0.2423930739,Social,10.41547871,1,1
6,2.612082822,0.1977054117,Social,2.297362733,0,1
5,1.300792453,0.3991071996,Paid,5.418335299,0,1
8,0.7942203378,0.2230009,Paid,3.473259751,0,1
5,2.878266355,0.1595669171,Paid,4.891406796,2,1
4,2.133946795,0.3237829434,Social,8.43677391,1,1
10,14.33777637,0.309484183,Organic,1.312369931,1,1
7,12.2619853,0.3659978669,Organic,1.613104655,1,1
4,3.023775696,0.4323097181,Direct,2.096672242,1,0.8220336028
8,1.754872745,0.6499020409,Organic,8.334458771,4,1
5,2.026752762,0.08416072676,Direct,5.725969783,1,1
5,3.441634589,0.3980451286,Referral,2.854758956,1,1
5,0.3213346242,0.09209786964,Organic,2.512742806,1,1
2,1.194062985,0.09720130335,Referral,2.178513118,1,0.9613116643
3,0.2347676982,0.1380818617,Social,4.313047966,3,1
4,0.228572874,0.02654646526,Organic,8.050592305,2,1
9,0.6538682457,0.2053597983,Social,4.563618804,2,1
0,1.992240767,0.3578891239,Social,3.300227848,3,1
5,4.608204397,0.0915690807,Organic,5.059560529,2,1
5,1.993655213,0.5104783476,Organic,1.890173686,1,1
5,1.226055609,0.1220641528,Organic,9.069597697,3,1
5,0.2578274501,0.02332251725,Organic,9.055312572,0,1
4,2.39749389,0.08471514484,Organic,3.145491105,4,1
9,0.9493501388,0.09188304984,Referral,1.746818773,3,1
6,2.863022979,0.4571642385,Organic,1.746603375,3,1
2,11.34137139,0.3903013421,Social,2.458419805,1,1
6,0.3540350204,0.2328119383,Organic,4.064775167,2,1
6,0.7152490117,0.3298771484,Paid,0.5051466681,4,1
6,1.922202407,0.471019294,Referral,2.766064942,3,1
5,10.38416239,0.3143351722,Social,5.946264438,1,1
2,4.43272705,0.2859854496,Paid,2.338076626,0,1
5,6.855095957,0.4603882163,Organic,1.56601603,1,1
3,1.218112634,0.1332415154,Social,3.832732638,0,1
3,14.49940368,0.07274335887,Organic,2.818959229,5,1
3,0.3255391593,0.2774105507,Organic,5.038873368,2,1
6,0.1632827277,0.2531457247,Paid,1.06922354,2,0.7642583998
6,5.805558737,0.1226547773,Social,3.92379441,2,1
4,7.862792386,0.4231294071,Organic,8.053915466,0,1
5,0.2848624095,0.1909410187,Paid,4.039796444,1,0.9087413417
5,0.3611768757,0.1682224884,Paid,1.715552636,0,0.7984590215
7,0.1012107025,0.3393338998,Direct,0.2573396805,2,0.9871748479
5,0.331144508,0.1830555255,Organic,1.428034328,5,1
3,0.7049645819,0.03675159456,Organic,2.568988402,1,1
4,10.52734538,0.3101236409,Paid,0.6405326106,1,1
7,3.306598144,0.1621005788,Organic,3.043895788,3,1
5,4.522716333,0.2850048499,Referral,2.530810379,1,1
7,4.490195276,0.2022527709,Referral,1.11504892,1,1
8,2.297629463,0.2316862287,Social,4.678400742,1,1
7,4.790882889,0.1689284475,Social,5.452857024,2,1
5,2.717592328,0.3959023583,Direct,9.591394006,3,1
8,1.133022087,0.04519676731,Paid,2.636885612,2,1
4,2.470520144,0.1146951749,Direct,0.9987828254,2,1
6,2.287546993,0.1789982337,Organic,1.195085769,3,1
8,5.202505361,0.2943362791,Referral,7.352477028,2,1
6,12.00702784,0.1353698202,Paid,3.461222823,2,1
3,1.588204096,0.2742866057,Social,2.820098544,4,1
8,4.324034791,0.2391811003,Paid,6.479232666,1,1
4,0.3152916644,0.4371493095,Social,1.819372053,3,1
7,4.499482807,0.3895054877,Direct,8.413692091,4,1
2,1.392861178,0.437873795,Referral,2.04612436,2,0.597029999
10,0.1205608476,0.105332083,Social,6.033490865,3,1
6,1.354116491,0.1238744786,Organic,3.343995628,2,1
4,2.829773936,0.3327155099,Organic,3.644371365,2,1
5,0.3809449564,0.07567012809,Direct,2.617799748,3,1
6,7.732427668,0.1299646682,Referral,8.3392635,3,1
4,0.2425644552,0.1819848039,Paid,1.586114268,4,1
5,7.978068117,0.1605017395,Organic,6.762421624,2,1
6,3.684156374,0.4655185846,Organic,1.32038281,1,1
3,1.20014421,0.3130536717,Organic,0.4874033291,3,1
7,1.486581472,0.1177197562,Paid,4.575833142,1,1
7,4.050574334,0.6028718363,Organic,2.986751161,1,1
8,2.759925791,0.3131514333,Organic,3.224841102,1,1
4,3.340960826,0.09997551853,Paid,0.8231067482,3,1
7,1.478783333,0.1273974769,Paid,2.9889362,2,1
3,2.007199281,0.4761432006,Organic,1.905431034,1,1
4,13.77601687,0.3063825324,Paid,11.02958591,0,1
4,0.7221010867,0.256000205,Direct,5.069309677,0,1
0,1.623113279,0.1707050037,Paid,3.401470318,2,0.9961858612
1,1.035184444,0.4343595432,Social,6.16801505,1,0.9801899118
1,4.34593317,0.04537718266,Direct,2.452759966,2,0.9983690678
7,4.331930922,0.09655254003,Organic,3.52639315,2,1
5,1.037821697,0.1456748599,Organic,2.386727731,1,1
5,0.2546818971,0.1029448396,Paid,1.980368421,5,1
8,0.03449559641,0.3241181361,Paid,4.024737292,0,1
3,1.672968427,0.4600782827,Paid,6.141878722,4,1
5,1.584615299,0.6031652645,Organic,3.134555749,3,1
3,13.36763409,0.09850152804,Referral,1.541855598,3,1
5,1.9035147,0.3093966482,Organic,2.687957087,0,1
1,0.888830181,0.2489124286,Direct,1.934396256,5,1
7,6.655543737,0.3086545534,Organic,2.409601036,2,1
2,2.026322303,0.4059083929,Direct,2.046413883,0,0.7753365829
4,2.742695822,0.2077765615,Organic,5.136301194,1,1
6,0.3016785449,0.5662792562,Organic,12.80147015,4,1
7,1.448252345,0.4707754407,Organic,2.332391042,2,1
9,8.65921732,0.2840508664,Direct,3.384335095,5,1
4,2.671177399,0.3399508102,Organic,2.062480964,5,1
1,1.267079418,0.08187101391,Referral,1.750778661,2,1
4,2.947829958,0.08248890406,Social,2.067491132,2,1
6,7.237571203,0.09221521366,Referral,0.314038741,2,1
3,0.9605769517,0.293778491,Organic,5.072772622,3,1
4,2.110300017,0.3757287494,Direct,0.9342726804,2,1
2,9.559999521,0.06729972523,Social,4.440053675,0,1
6,0.5676620191,0.2250336778,Paid,3.207502056,1,1
8,3.815298389,0.08557517783,Paid,2.91613722,2,1
7,2.859494465,0.2740697458,Direct,5.223592211,2,1
2,3.415258749,0.208925901,Direct,4.223186087,1,1
6,1.297983101,0.3182436949,Paid,4.998269234,5,1
9,1.130105479,0.3345742134,Social,4.909407585,0,1
3,3.4580304,0.3719052773,Organic,4.880486115,2,1
8,0.7282916512,0.1988793923,Organic,3.700110175,1,1
7,1.632396255,0.430816827,Organic,8.955681608,2,1
6,0.6254101299,0.1063037358,Organic,3.632154922,1,1
10,0.02501855533,0.2128064181,Referral,11.82438278,3,1
5,10.52541519,0.2041292479,Paid,1.80038714,3,1
5,1.695333216,0.2494128339,Organic,1.196587251,0,1
5,10.45533011,0.1619923068,Paid,5.251469916,1,1
5,0.4535974389,0.7844827139,Organic,0.3271985607,1,0.4684861267
4,2.655588499,0.2160798321,Direct,5.60620716,2,1
10,0.6730855023,0.08066381035,Social,0.7367129683,7,1
3,4.683002388,0.1540998715,Organic,2.961305553,2,1
2,4.593308291,0.1479407692,Direct,5.585758823,3,1
6,0.3584024887,0.2419047393,Organic,0.8281453159,3,0.7192860007
4,7.293453456,0.2045832968,Referral,2.714623465,1,1
4,0.6493591253,0.1525128956,Direct,5.925250856,0,1
8,2.847816116,0.5647126596,Organic,0.3658106051,1,0.9827260673
5,12.72859359,0.1571369825,Referral,3.745821535,1,1
4,6.421310333,0.3259950246,Organic,2.062483746,1,1
7,9.409395132,0.2955591215,Organic,7.440879058,1,1
4,1.258382246,0.3201326289,Paid,2.35323792,5,1
2,0.3347248299,0.2221334572,Direct,12.96431643,5,1
2,0.6260466418,0.2295112723,Paid,3.377321505,2,1
3,2.082412383,0.4690825474,Direct,3.069837449,3,1
3,4.728439976,0.1787084118,Direct,1.925624694,3,1
8,0.4880991111,0.2854697414,Organic,2.431642733,2,1
6,3.234061086,0.2862312219,Paid,5.340246996,0,1
0,1.172812656,0.3477844405,Referral,2.599769344,2,0.9328302691
8,1.252015279,0.547837985,Paid,1.856067682,2,1
5,3.253398034,0.1189521183,Organic,0.9147318784,2,1
4,1.887698297,0.3169728939,Direct,2.226469084,2,1
5,5.014471267,0.2855954605,Social,5.131792939,3,1
7,0.5085187095,0.5395357245,Paid,1.829128578,2,1
6,4.681204332,0.3379518218,Referral,16.32290146,3,1
3,0.1991735025,0.2784461492,Organic,8.343286107,1,1
4,0.6472151629,0.4142543678,Paid,0.3588379723,2,0.9260502491
2,3.202646799,0.2038286209,Direct,2.532268591,5,1
4,5.791526863,0.3049213323,Social,2.143944168,0,1
1,0.8737839218,0.2199334957,Organic,0.5560331412,1,0.8019253047
9,1.188884082,0.4951410858,Paid,2.210918539,3,1
3,2.310867163,0.1048068732,Referral,2.199760346,1,1
1,0.7131456368,0.3613120176,Organic,5.517536412,2,0.8200189946
5,5.00050616,0.5059230232,Organic,6.461177333,3,1
4,4.456841416,0.2580807113,Paid,5.626578126,1,1
6,0.4709851555,0.3816994747,Referral,8.166845135,2,1
5,1.869910512,0.04761966708,Organic,3.335884109,5,1
8,4.472669064,0.4147729479,Organic,3.32845172,3,1
5,1.234432328,0.4588638659,Organic,5.268935816,1,1
7,3.00805363,0.2460350793,Organic,2.229985485,3,1
4,0.1545529738,0.2619068258,Paid,3.86127806,4,1
1,2.81475608,0.287894938,Organic,3.721134082,3,1
5,0.4969348902,0.150131139,Organic,4.296920724,2,1
4,5.3261822,0.1433344568,Social,6.733017067,4,1
3,1.317606144,0.4523232369,Organic,1.634691011,3,0.8686930891
2,0.9919936254,0.2097294801,Paid,1.681804785,0,0.8600901294
